Word,Position,Level,Translation
alarm,verb,B1,alarm
alarm clock,noun,A2,alarm saati
album,noun,A1,albüm
alcohol,noun,B1,alkol
alcoholic,adjective,B1,alkollü
alcoholic,noun,B2,alkollü
alcoholism,noun,B2,alkolizm
alert,verb,B2,uyarı
alike,adjective,B1,benzer
alike,adverb,B1,benzer
alive,adjective,A2,canlı
all,adverb,A2,Tümü
all,determiner,A1,Tümü
all,pronoun,A1,Tümü
all right,adjective,A1,Elbette
all right,adverb,A1,Elbette
allegation,noun,B2,iddia
allergic,adjective,B1,alerjik
alliance,noun,B2,ittifak
allow,verb,A2,izin vermek
allowance,noun,B1,ödenek
ally,noun,B2,müttefik
almost,adverb,A1,neredeyse
alone,adjective,A2,yalnız
alone,adverb,A1,yalnız
along,adverb,A1,birlikte
along,preposition,A2,birlikte
alongside,preposition,B2,yanında
aloud,adverb,B1,yüksek sesle
alphabet,noun,B1,alfabe
alphabetical,adjective,B2,alfabetik
already,adverb,A1,çoktan
alright,adjective,A2,Tamam
alright,adverb,A2,Tamam
also,adverb,A1,Ayrıca
altar,noun,B2,altar
alter,verb,B2,değiştirmek
alternate,verb,B2,alternatif
alternative,adjective,B1,alternatif
alternative,noun,B1,alternatif
alternatively,adverb,B2,alternatif olarak
although,conjunction,A2,rağmen
altitude,noun,B2,rakım
altogether,adverb,B1,tamamen
aluminum/aluminium,noun,B2,alüminyum/alüminyum
always,adverb,A1,Her zaman
am,be-verb,A1,ben
amaze,verb,B2,hayrete düşürmek
amazed,adjective,B1,hayret
amazement,noun,B2,şaşkınlık
amazing,adjective,B1,inanılmaz
amazingly,adverb,B2,şaşırtıcı derecede
ambassador,noun,B2,büyükelçi
ambiguity,noun,B2,belirsizlik
ambiguous,adjective,B2,belirsiz
ambition,noun,A2,tutku
ambitious,adjective,B1,hırslı
ambulance,noun,B1,ambulans
ammonia,noun,B2,amonyak
among,preposition,A2,arasında
amongst,preposition,B2,arasında
amount,noun,B1,miktar
ample,adjective,B2,bol
amplifier,noun,B2,amplifikatör
amplify,verb,B2,güçlendirmek
amuse,verb,B2,eğlendirmek
amused,adjective,A2,eğlenerek
amusement,noun,A2,eğlence
amusing,adjective,B1,eğlenceli
an,determiner,A1,BİR
analogy,noun,B2,benzetme
analysis,noun,B1,analiz
analyst,noun,B2,analist
analyze/analyse,verb,B1,analiz et/analiz et
ancestor,noun,A2,Ata
anchor,noun,B2,Çapa
anchorage,noun,B2,demirleme
anchorman,noun,B2,spiker
anchorperson,noun,B2,spiker
ancient,adjective,A2,antik
and,conjunction,A1,Ve
angel,noun,A2,melek
anger,noun,B1,kızgınlık
angle,noun,B1,açı
angrily,adverb,A2,öfkeyle
angry,adjective,A1,sinirli
anguish,noun,B2,ıstırap
animal,noun,A1,hayvan
animate,verb,B2,canlandırmak
animated,adjective,B1,animasyonlu
animation,noun,B1,animasyon
ankle,noun,A2,bilek
anniversary,noun,A2,yıl dönümü
announce,verb,B1,duyurmak
announcement,noun,B1,duyuru
annoy,verb,A2,kızdırmak
annoyance,noun,B1,sıkıntı
annoyed,adjective,B1,sinirli
annoying,adjective,A2,sinir bozucu
annual,adjective,B1,yıllık
annually,adverb,B1,yıllık
anonymous,adjective,B2,anonim
another,determiner,A1,bir diğer
another,pronoun,A2,bir diğer
answer,noun,A1,cevap
answer,verb,A1,cevap
ant,noun,B1,karınca
anti,adjective,B1,anti
antiaircraft,adjective,B2,uçaksavar
antibacterial,adjective,B2,antibakteriyel
anticancer,noun,B2,antikanser
anticipate,verb,B2,beklemek
anticipation,noun,B2,Beklenti
antipollution,noun,B2,kirlenme karşıtı
antique,adjective,B2,Antik
antique,noun,B1,Antik
antistatic,adjective,B2,antistatik
antivirus,noun,B2,antivirüs
antonym,noun,B1,zıt anlamlı
anxiety,noun,B1,endişe
anxious,adjective,A2,endişeli
anxiously,adverb,B1,endişeyle
any,determiner,A1,herhangi
any,pronoun,A1,herhangi
anybody,pronoun,A1,herhangi biri
anyhow,adverb,B1,neyse
anymore,adverb,A2,artık değil
anyone,pronoun,A1,herhangi biri
anything,pronoun,A1,herhangi bir şey
anyway,adverb,A2,Neyse
anywhere,adverb,A2,herhangi bir yer
apart,adverb,A2,ayrı
apartment,noun,A2,apartman
ape,noun,B1,maymun
apologize/apologise,verb,A2,özür dilemek/özür dilemek
apology,noun,B1,özür
apostrophe,noun,B2,kesme işareti
apparent,adjective,B1,belirgin
apparently,adverb,A2,görünüşe göre
appeal,noun,B1,çekici
appeal,verb,B2,çekici
appear,verb,A2,belli olmak
appearance,noun,A2,dış görünüş
appetite,noun,B1,iştah
applaud,verb,B1,alkışlamak
applause,noun,B1,alkış
apple,noun,A1,elma
applicant,noun,B2,başvuru sahibi
application,noun,B1,başvuru
apply,verb,A2,uygula
appoint,verb,B1,atamak
appointment,noun,A2,randevu
appreciate,verb,A2,takdirle karşılamak
appreciation,noun,B1,takdir
appreciative,adjective,B2,minnettar
approach,noun,B1,yaklaşmak
approach,verb,B2,yaklaşmak
appropriate,adjective,A2,uygun
appropriately,adverb,B2,uygun şekilde
approval,noun,B1,onay
approve,verb,B1,onaylamak
approximate,adjective,B2,yaklaşık
approximately,adverb,B1,yaklaşık olarak
April,noun,A1,Nisan
apron,noun,A1,apron
arch,noun,B2,kemer
archaeologist/archeologist,noun,B2,arkeolog/arkeolog
architect,noun,B1,mimar
architecture,noun,A2,mimari
arctic,adjective,B2,arktik
are,be-verb,A1,öyle
area,noun,A2,alan
arena,noun,B2,arena
argue,verb,A2,tartışmak
argument,noun,A2,argüman
arise,verb,B1,kalkmak
aristocracy,noun,B2,aristokrasi
arithmetic,noun,B1,aritmetik
arm,noun,A1,kol
arm,verb,B1,kol
armchair,noun,A2,koltuk
armed,adjective,A2,silahlı
armful,noun,B2,kucak dolusu
army,noun,B1,ordu
around,adverb,A2,etrafında
around,preposition,A1,etrafında
arouse,verb,B2,uyandırmak
arrange,verb,B1,düzenlemek
arrangement,noun,B1,ayarlama
arrest,noun,B1,tutuklamak
arrest,verb,B1,tutuklamak
arrival,noun,B1,varış
arrive,verb,A1,varmak
arrogant,adjective,B2,kibirli
arrow,noun,B1,ok
art,noun,A1,sanat
artery,noun,B2,arter
article,noun,A1,madde
articulate,verb,B2,ifade
artificial,adjective,A2,yapay
artificially,adverb,B2,yapay olarak
artist,noun,B1,sanatçı
artistic,adjective,B1,sanatsal
artistry,noun,B2,sanat
as,conjunction,A2,gibi
as,preposition,A1,gibi
ash,noun,B2,kül
ashamed,adjective,B1,utanmış
aside,adverb,B1,bir kenara
ask,verb,A1,sormak
asleep,adjective,A2,uyuya kalmak
aspect,noun,B1,bakış açısı
aspiration,noun,B2,aspirasyon
aspire,verb,B2,arzulamak
aspirin,noun,B1,aspirin
assault,noun,B2,saldırı
assemble,verb,B2,birleştirmek
assembly,noun,B2,toplantı
assert,verb,B2,ileri sürmek
assess,verb,B2,değer biçmek
assessment,noun,B2,değerlendirme
assign,verb,B1,atamak
assignment,noun,B1,atama
assist,verb,B1,yardım
assistance,noun,B1,yardım
assistant,adjective,A2,asistan
assistant,noun,B1,asistan
associate,verb,B1,iş arkadaşı
association,noun,A2,dernek
assume,verb,B1,farz etmek
assumption,noun,B2,varsayım
assurance,noun,B2,güvence
assure,verb,B2,garanti etmek
astonish,verb,B2,afallatmak
astonished,adjective,B2,şaşkın
astonishing,adjective,B2,şaşırtıcı
astonishment,noun,B2,şaşkınlık
astronaut,noun,A2,astronot
astronomer,noun,B1,astronom
astronomy,noun,B2,astronomi
at,preposition,A1,en
athlete,noun,A2,atlet
athletic,adjective,B1,atletik
athletics,noun,B2,atletizm
Atlantic,adjective,B1,Atlantik
atmosphere,noun,B1,atmosfer
atom,noun,A2,atom
atomic,adjective,B1,atomik
attach,verb,B1,eklemek
attached,adjective,B2,ekli
attachment,noun,B1,EK
attack,noun,A2,saldırı
attack,verb,A2,saldırı
attain,verb,B1,en azından
attainable,adjective,B2,ulaşılabilir
attainment,noun,B2,ulaşma
attempt,noun,A2,girişim
attempt,verb,B1,girişim
attend,verb,B1,katılmak
attendance,noun,B2,katılım
attention,noun,A2,dikkat
attentive,adjective,B2,özenli
attentively,adverb,B2,dikkatle
attitude,noun,A2,davranış
attract,verb,B1,cezbetmek
attraction,noun,B1,cazibe
attractive,adjective,A2,çekici
attractiveness,noun,B2,çekicilik
attribute,noun,B2,bağlanmak
attribute,verb,B2,bağlanmak
atypical,adjective,B2,atipik
aubergine,noun,B2,patlıcan
audience,noun,A2,kitle
audio,adjective,A2,ses
audit,noun,B2,denetim
audition,noun,B2,seçme
August,noun,A1,Ağustos
aunt,noun,A1,hala
author,noun,A2,yazar
authoritative,adjective,B2,yetkili
authority,noun,B1,yetki
authorize/authorise,verb,B2,yetkilendirmek/yetkilendirmek
automatic,adjective,A2,otomatik
automatically,adverb,A2,otomatik olarak
autumn,noun,A1,sonbahar
auxiliary,adjective,B1,ek
availability,noun,B2,kullanılabilirlik
available,adjective,B1,mevcut
avenue,noun,B1,Bulvar
average,adjective,A2,ortalama
average,noun,A2,ortalama
avoid,verb,A2,kaçınmak
await,verb,B2,beklemek
awake,adjective,A1,uyanmak
award,noun,A2,ödül
award,verb,B1,ödül
aware,adjective,B1,farkında olmak
awareness,noun,B1,farkındalık
away,adverb,A1,uzak
awe,noun,B2,huşu
awesome,adjective,B1,Mükemmel
awful,adjective,A2,berbat
awkward,adjective,B1,garip
ax/axe,noun,B2,balta/balta
axis,noun,B2,eksen
baby,noun,A1,Bebek
babysit,verb,B1,bebek bakıcılığı
babysitter,noun,B1,çocuk bakıcısı
back,adjective,A2,geri
back,adverb,A1,geri
back,noun,A1,geri
back,verb,B1,geri
backache,noun,B1,sırt ağrısı
background,noun,A2,arka plan
backpack,noun,B1,sırt çantası
backpacker,noun,B1,sırt çantalı gezgin
backpacking,noun,B1,sırt çantasıyla seyahat
backup,noun,B2,destek olmak
backward/backwards,adverb,B2,geriye/geriye
backyard,noun,B2,arka bahçe
bacon,noun,B1,domuz pastırması
bad,adjective,A1,kötü
badge,noun,B2,rozet
badly,adverb,A2,kötü
badminton,noun,A2,badminton
bad-tempered,adjective,B2,huysuz
bag,noun,A1,çanta
baggage,noun,B1,bagaj
bake,verb,A2,pişmek
baker,noun,B1,fırıncı
bakery,noun,B1,fırın
balance,noun,B1,denge
balance,verb,B2,denge
balanced,adjective,B2,dengeli
balcony,noun,A2,balkon
bald,adjective,B1,kel
balky,adjective,B2,inatçı
ball,noun,A1,top
ballad,noun,B2,balad
ballet,noun,B2,bale
balloon,noun,A2,balon
ballot,noun,B2,oy pusulası
ban,noun,B2,yasak
ban,verb,B2,yasak
banana,noun,A1,muz
band,noun,A1,bant
bandage,noun,B1,bandaj
bang,noun,B1,patlama
bang,verb,B1,patlama
bank,noun,A1,banka
bank,verb,A2,banka
bank account,noun,B1,banka hesabı
banker,noun,B2,bankacı
banking,noun,A2,bankacılık
bankrupt,verb,B2,iflas etti
bankruptcy,noun,B2,iflas
bar,noun,A1,çubuk
bar,verb,B1,çubuk
barbecue,noun,A2,Barbekü
barbecue,verb,B1,Barbekü
barber,noun,A2,berber
barbershop,noun,B2,Berber dükkanı
bare,adjective,B1,çıplak
bare,verb,B2,çıplak
barely,adverb,B1,neredeyse
bargain,noun,A2,pazarlık
bargain,verb,B2,pazarlık
bark,noun,B1,havlamak
bark,verb,B2,havlamak
barley,noun,B2,arpa
barman,noun,B1,barmen
barn,noun,B2,ahır
barometer,noun,B2,barometre
barrel,noun,B1,varil
barren,adjective,B2,çorak
barrier,noun,B2,bariyer
bartender,noun,B2,barmen
base,noun,A2,temel
base,verb,B1,temel
baseball,noun,A1,beyzbol
basement,noun,B1,bodrum
basic,adjective,A2,temel
basically,adverb,A2,temel olarak
basin,noun,B1,havza
basis,noun,B1,temel
basket,noun,A2,sepet
basketball,noun,A1,Basketbol
bat,noun,A1,yarasa
bat,verb,B1,yarasa
batch,noun,A2,grup
bath,noun,A1,banyo
bathe,verb,B1,yıkanmak
bathhouse,noun,B2,hamam
bathroom,noun,A1,banyo
battery,noun,A2,pil
battle,noun,B1,savaş
battlefield,noun,B2,savaş alanı
bay,noun,A2,koy
be,be-verb,A1,olmak
beach,noun,A1,sahil
beagle,noun,B2,tazı
beak,noun,B2,gaga
beam,noun,B2,ışın
bean,noun,A1,fasulye
bear,noun,A1,ayı
bear,verb,A2,ayı
beard,noun,B1,sakal
bearing,noun,B2,rulman
beast,noun,B1,canavar
beat,noun,B2,vurmak
beat,verb,B1,vurmak
beautiful,adjective,A1,Güzel
beautifully,adverb,B1,güzelce
beautify,verb,B2,güzelleştirmek
beauty,noun,A2,güzellik
beaver,noun,B1,kunduz
because,conjunction,A1,Çünkü
because of,preposition,B1,yüzünden
become,verb,A1,haline gelmek
bed,noun,A1,yatak
bedroom,noun,A1,yatak odası
bedside,noun,B1,başucu
bee,noun,A1,bal arısı
beef,noun,A1,biftek
been,be-verb,A2,olmuştur
beer,noun,A2,bira
before,adverb,A1,önce
before,conjunction,A2,önce
before,preposition,A1,önce
beg,verb,A2,dilenmek
begin,verb,A1,başlamak
beginner,noun,A2,acemi
beginning,noun,A2,başlangıç
behalf,noun,B1,adına
behave,verb,B1,davranmak
behavior/behaviour,noun,A2,davranış/davranış
behind,adverb,A1,arka
behind,preposition,A1,arka
being,noun,A2,yapı
belief,noun,B1,inanç
believe,verb,A1,inanmak
bell,noun,A1,zil
bellow,verb,B2,feryat
belly,noun,A2,karın
belong,verb,A2,ait olmak
belongings,noun,B2,eşyalar
beloved,adjective,B1,sevgili
below,adverb,A1,altında
below,preposition,A1,altında
belt,noun,A2,kemer
bench,noun,A2,Bank
bend,noun,B2,bükülmek
bend,verb,A2,bükülmek
beneath,preposition,B1,altında
beneficial,adjective,B2,yararlı
benefit,noun,B1,fayda
benefit,verb,B2,fayda
benevolence,noun,B2,yardımseverlik
benevolent,adjective,B2,hayırsever
bent,adjective,B1,kıvrılmış
berry,noun,B2,dut
beside,preposition,A1,yanında
besides,adverb,A2,Ayrıca
besides,preposition,B1,Ayrıca
best,adjective,A1,en iyi
best,adverb,A1,en iyi
bestow,verb,B2,ihsan etmek
bestseller,noun,B2,En çok satan kitap
bet,verb,B1,bahis
betray,verb,B2,ihanet etmek
better,adjective,A1,daha iyi
better,adverb,A2,daha iyi
between,preposition,A1,arasında
bewilder,verb,B2,şaşkın
bewilderment,noun,B2,şaşkınlık
beyond,preposition,A2,öte
bicycle,noun,A1,bisiklet
bid,verb,B2,teklif etmek
bidding,noun,B2,ihale
big,adjective,A1,büyük
bike,noun,A1,bisiklet
bikini,noun,B2,bikini
bilingual,adjective,B1,iki dilli
bill,noun,A2,fatura
bill,verb,B1,fatura
billion,noun,B2,milyar
bin,noun,B1,çöp Kutusu
bind,verb,B2,bağlamak
bio,noun,B2,biyo
biochemistry,noun,B1,biyokimya
biography,noun,B1,biyografi
biological,adjective,B2,biyolojik
biology,noun,B1,Biyoloji
biotechnology,noun,B2,biyoteknoloji
bird,noun,A1,kuş
birdcage,noun,B2,kuş kafesi
birth,noun,A1,doğum
birthday,noun,A1,doğum günü
birthplace,noun,B2,doğum yeri
biscuit,noun,A1,bisküvi
bishop,noun,B1,piskopos
bit,noun,A2,biraz
bite,noun,A2,ısırmak
bite,verb,B1,ısırmak
bitter,adjective,B1,acı
bitterly,adverb,B2,acı bir şekilde
bizarre,adjective,B2,tuhaf
black,adjective,A1,siyah
black,noun,A1,siyah
blackboard,noun,A2,yazı tahtası
blade,noun,B2,bıçak ağzı
blame,noun,B1,suçlamak
blame,verb,A2,suçlamak
blank,adjective,A1,boşluk
blanket,noun,A2,battaniye
blast,noun,B2,büyük patlama
blast,verb,B2,büyük patlama
blaze,noun,B2,alev
blaze,verb,B2,alev
bleed,verb,B1,kanama
blend,noun,B2,karışım
blend,verb,B1,karışım
bless,verb,B1,korusun
blessing,noun,B1,nimet
blind,adjective,B1,kör
blindly,adverb,B2,körü körüne
blindness,noun,B2,körlük
blink,verb,B2,göz kırpmak
block,noun,A1,engellemek
block,verb,B1,engellemek
blog,noun,B1,Blog
blogger,noun,B1,blog yazarı
blonde,adjective,A2,sarışın
blood,noun,A2,kan
bloodstream,noun,B2,kan dolaşımı
bloody,adjective,B2,kanlı
bloody,adverb,B2,kanlı
bloom,noun,A2,çiçek açmak
blooming,adjective,B2,çiçeklenme
blossom,noun,B2,çiçek
blow,noun,A2,üflemek
blow,verb,A1,üflemek
blue,adjective,A1,mavi
blue,noun,A1,mavi
blur,verb,B2,bulanıklık
blurt,noun,B2,yumurtlamak
blush,noun,B1,kızarmak
blush,verb,B2,kızarmak
board,noun,A1,pano
board,verb,B1,pano
board game,noun,A2,masa oyunu
boast,verb,B1,övünme
boat,noun,A1,bot
body,noun,A1,vücut
boil,verb,A2,kaynamak
boiled,adjective,A2,haşlanmış
boiling,adjective,B2,kaynamak
bold,adjective,B1,gözü pek
bold,noun,B2,gözü pek
boldly,adverb,B1,cesurca
bolt,noun,B2,cıvata
bolt,verb,B2,cıvata
bomb,noun,B1,bomba
bomb,verb,B1,bomba
bombard,noun,B2,bombardıman
bomber,noun,B2,bombardıman uçağı
bombing,noun,B2,bombalama
bond,noun,B1,bağlamak
bone,noun,A1,kemik
bonus,noun,A2,bonus
bony,adjective,B2,kemikli
book,noun,A1,kitap
book,verb,B1,kitap
bookcase,noun,A2,kitaplık
booking,noun,B1,rezervasyon
bookish,adjective,B2,kitap tutkunu
booklet,noun,B2,kitapçık
bookmark,noun,B2,yer imi
bookmark,verb,B2,yer imi
bookshelf,noun,A2,kitaplık
bookshop,noun,A2,kitapçı
bookstore,noun,A1,kitapçı
boom,noun,B1,Boom
boost,noun,B2,artırmak
boost,verb,B2,artırmak
boot,noun,B1,bot
booth,noun,B2,çardak
border,noun,B1,sınır
bore,verb,B1,delik
bored,adjective,A2,sıkılmış
boredom,noun,B1,Can sıkıntısı
boring,adjective,A1,sıkıcı
borrow,verb,A1,borç almak
boss,noun,A2,patron
bossy,adjective,B2,otoriter
botany,noun,B2,botanik
both,adverb,A1,ikisi birden
both,determiner,A1,ikisi birden
both,pronoun,A1,ikisi birden
bother,noun,B1,rahatsız etmek
bother,verb,A2,rahatsız etmek
bothered,adjective,B2,rahatsız
bothersome,adjective,B2,Can sıkıcı
bottle,noun,A1,şişe
bottle,verb,B2,şişe
bottom,noun,A1,alt
bounce,noun,B2,sıçrama
bounce,verb,B1,sıçrama
bound,adjective,B1,ciltli
bourbon,noun,B2,Burbon
bow,noun,B1,yay
bow,verb,B2,yay
bowl,noun,A1,tas
bowl,verb,B1,tas
box,noun,A1,kutu
boxer,noun,B2,boksör
boxing,noun,B1,boks
boy,noun,A1,erkek çocuk
boyfriend,noun,A1,erkek arkadaş
bra,noun,A2,sutyen
bracelet,noun,B1,bileklik
bracket,noun,B2,braket
brag,noun,B2,övünmek
brain,noun,A1,beyin
brainstorm,noun,A2,beyin fırtınası
brainstorming,noun,B1,beyin fırtınası
brake,noun,A2,fren
brake,verb,B2,fren
branch,noun,A2,dal
branch,verb,B1,dal
brand,noun,A2,marka
brand-new,adjective,B1,yepyeni
brass,noun,B1,pirinç
brave,adjective,A2,cesur
bravely,adverb,B1,cesurca
bravery,noun,B2,cesaret
bread,noun,A1,ekmek
break,noun,A2,kırmak
break,verb,A1,kırmak
breakable,adjective,B2,kırılabilir
breakdown,noun,B2,bozulma
breakfast,noun,A1,kahvaltı
breakthrough,noun,B1,atılım
breakup,noun,B2,ayrılmak
breast,noun,B1,göğüs
breath,noun,B1,nefes
breathe,verb,A1,nefes almak
breathless,adjective,B1,nefessiz
breathtaking,adjective,B2,nefes kesen
breed,noun,B2,yavrulamak
breed,verb,B1,yavrulamak
breeding,noun,B1,üreme
breeze,noun,A2,Meltem
breezy,adjective,B2,havadar
brewery,noun,B2,bira fabrikası
brick,noun,B1,tuğla
bride,noun,A2,gelin
bridge,noun,A1,köprü
brief,adjective,B1,kısa bilgi
briefly,adverb,B1,kısaca
bright,adjective,A1,parlak
brightly,adverb,B1,parlak bir şekilde
brilliant,adjective,A2,muhteşem
brilliantly,adverb,B2,zekice
bring,verb,A1,getirmek
broad,adjective,B1,kalın
broadband,noun,B2,geniş bant
broadcast,noun,B1,yayın
broadcast,verb,B2,yayın
broadcaster,noun,B2,yayıncı
broaden,verb,B2,genişletmek
broadly,adverb,B2,genel olarak
broccoli,noun,B1,brokoli
brochure,noun,B2,broşür
broken,adjective,A1,kırık
bronze,noun,B1,bronz
brother,noun,A1,Erkek kardeş
brotherhood,noun,B1,kardeşlik
brother-in-law,noun,B2,kayınbirader
brown,adjective,A1,kahverengi
brown,noun,A2,kahverengi
browse,verb,B2,Araştır
browser,noun,B2,tarayıcı
bruise,noun,B2,çürük
brush,noun,A1,fırçalamak
brush,verb,A1,fırçalamak
bubble,noun,B1,kabarcık
bucket,noun,A1,Kova
bud,noun,B2,tomurcuk
buddy,noun,B1,ahbap
budget,adjective,B2,bütçe
budget,noun,A2,bütçe
bug,noun,A2,böcek
build,verb,A1,inşa etmek
builder,noun,B1,inşaatçı
building,noun,A1,bina
bulb,noun,A2,ampul
bulimia,noun,B2,bulimia
bull,noun,B1,Boğa
bullet,noun,B1,kurşun
bulletin,noun,B1,bülten
bully,verb,B2,kabadayı
bum,noun,B2,serseri
bump,verb,B1,çarpmak
bumper,noun,B2,tampon
bun,noun,B2,topuz
bunch,noun,B1,demet
burden,noun,B1,yük
burden,verb,B2,yük
burdensome,adjective,B2,külfetli
bureau,noun,B1,büro
bureaucracy,noun,B2,bürokrasi
burger,noun,A1,hamburger
burglar,noun,B1,kasaba
burglary,noun,B2,hırsızlık
burgle,verb,B2,soymak
burial,noun,B2,cenaze
burn,noun,A2,yakmak
burn,verb,B1,yakmak
burning,adjective,B1,yanan
burst,verb,B1,patlamak
bury,verb,A2,gömmek
